ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,0.5509286814297274,0.46175772820297123,0.521043628738298,0.667755135028643,0.8043347884954908,0.28074221151145745,0.7430112060063156,0.2589672406306236,0
0.07275102255704058,0.07357392787523631,0.41300537465098475,0.43692760839011663,,0.867709313710346,0.5493323034460802,0.3825231563215044,0.6240700579926293,0
0.6347690762805038,0.6732966833651524,0.4418671579624221,0.7709596335703461,,0.48121065504721655,0.6438168638968351,0.5011619702871286,0.2810033287942014,0
0.6626762929561689,0.6109111073538107,0.48943783466300766,0.6170698869347002,0.6118594451960486,0.35848387387438657,0.7315457981608167,0.8999737597329973,0.6544923294135119,0
0.7621097332950826,0.4004564740892864,0.3983189174943006,0.4257141910725812,0.3871752607308203,0.43642334076147177,0.34668331112405565,0.09646565421204739,0.5230107697922326,0
0.3122771111917878,0.44607336022853317,0.6412549906854073,0.5519919274798064,0.46667974504875076,0.17486151486047313,0.1699513977923443,0.3659316848639464,0.16316861393678173,0
0.9072146804032653,0.8240632046182252,0.6412781978024555,0.5480122996375181,0.7886123494217527,0.18192204160619346,0.47153903470047326,0.714942675232668,0.19006843252087013,0
0.7035908511585005,0.5412577231589271,0.3011667294407939,0.1747963879455698,0.35436940778405357,0.6054049651071776,0.39175601049922965,0.45858111470250945,0.6005063314263024,0
,0.007573594325643307,0.31500549375000547,0.5847931311201642,0.18777853164188163,0.41638588291140993,0.4109051337947163,0.35430394674251725,0.4090151693400462,0
0.5400765802650709,0.301903805977237,0.7248058123090547,0.5527296713011209,0.4664201735567586,0.49624045783251686,0.5720940730188981,0.6460057638208947,0.42499033220098703,0
0.6187918523670994,0.6382358087316296,0.416109241387698,0.6235278134206954,,0.36032836570109544,0.5127236941180773,0.6195045397031691,0.5079658132939232,0
0.509197862271953,0.24614120673988538,0.4152781597886246,0.053742488085878726,0.2536073598987878,0.32399535510159844,0.5912707926707841,0.654949955284104,0.37357136083207787,0
,0.20483655923533328,0.6092838574168623,0.4626036085131126,0.3356547452244787,0.3950655228017201,0.7838222662581289,0.6197876963698417,0.6034863533358183,0
0.5574629463069672,0.5538036988091881,0.6331189363462983,0.2392526791891622,,0.5389576237857925,0.4401275736662313,0.5467800567625707,0.6897819877302065,0
0.4101369104081707,0.43607658437970276,0.9190838234897807,0.8157031286413297,0.6483927901828967,0.6988491179548335,0.34564826756557804,0.6028768635318691,0.5945516329498282,0
0.5004735803110142,0.5898858878942714,0.6916010654165583,0.8745493719361086,,0.25175656556019416,0.8412426581017576,0.386315071807071,0.568924866347819,0
0.7735649578230921,0.9868895133255955,0.5350693254148542,0.4710493212565566,0.8111388319923682,0.6128719502430402,0.44902585485272367,0.5603845192867354,0.6247835176746455,0
0.5414114330009893,0.6116904877947049,0.5709128357680301,0.15830888122015246,0.5102997086286949,0.5949970972158583,0.3998887101249739,0.4585689838384626,0.16330893500750887,0
,0.6935299812383302,0.49591518108679483,0.9047975063627589,,0.7832920029649388,0.6137729405175294,0.2538293354212657,0.5368660180755638,0
0.4502638346237111,0.31938028940440355,0.6907836498112057,0.33870584151718924,0.390996641387811,0.7142133700744338,0.7006432302926275,0.6260461456123889,0.44574675872384806,0
,0.6210598263404548,0.37865426230612553,0.3068655179893028,0.4679562999949036,0.520352997090149,0.4938850448855073,0.42398259407952116,0.8516998873288606,0
0.09665169422016873,0.5004071946359601,0.47024338256553444,0.4826012375093048,,0.5385884438475519,0.6292911014010549,0.7805239300572768,0.6306872747048873,0
0.2887112046302899,0.1451519124058107,0.3822492112511932,0.8697496399298394,0.4747533013341114,0.6015604252462305,0.32979101946231365,0.3896105550275876,0.7010386498032593,0
0.4315689489874093,0.5121982140341845,0.47139838212938806,0.6944358589782138,0.4518674694780065,0.4694218937048528,0.5336645407666774,0.6590303488702507,0.7903478036851956,0
0.037999575044251,0.5701310551815262,0.7467350498949226,0.7085036307898076,0.7422033746337238,0.532616165739825,0.4724458685496478,0.07632147756155472,0.5489704843652068,0
,0.17696259169248574,0.2910800660267699,0.5977300989461476,0.3576962512012567,0.2159393971550762,0.4122186863341943,0.30266778848131876,0.5063399154097743,0
,0.9401279120847079,0.587439375059354,0.5716235464652692,0.7969080265510005,0.3611752521962159,0.2790170325573081,0.34348216191263586,0.5031800368590935,0
,0.1920476770564623,0.3354837368092247,0.7419854452799668,0.3721614631850825,0.8032172659983721,0.6270318305055329,0.3395765713866988,0.989174723742474,0
0.5170996561201134,0.5808798916664479,0.33554726992944756,0.3558979502696988,0.522708862311382,0.31156794528324067,0.14325390963539164,0.5613320180840531,0.7637461001397938,0
